,S,M,C,S^2,S M,S C,M^2,M C,C^2,S^3,S^2 M,S^2 C,S M^2,S M C,S C^2,M^3,M^2 C,M C^2,C^3,min(group_1),max(group_1),mean(group_1),std(group_1),median(group_1),mode(group_1)
280,12.130285,0.4353361,13.267817,11.858496,1.0947034,17.870611,0.34307,1.9371692,20.680851,16.129467,2.847475,23.377674,0.8853709,4.4831057,27.784174,0.26139235,1.4526442,6.645502,30.941591,0.44632524,12.956725,8.21714,4.2451797,11.812473,0.44632524
953,4.098527,0.57749826,6.512718,3.447763,1.0024834,6.4606047,0.6265914,1.8416232,9.490955,4.2305913,1.876077,7.3022203,1.0309315,3.181753,10.597004,0.67711043,1.6847932,5.0003796,13.931111,0.5979263,6.4011765,4.1135335,1.8355113,4.030157,0.5979263
675,6.3602066,0.6384365,5.852975,5.8016725,1.2506311,7.5302606,0.75460005,1.9319572,8.392767,7.569284,2.7359052,9.78202,1.3588849,3.795114,11.159893,0.8756454,1.8781564,5.0362644,12.254575,0.66404855,5.7578716,4.4226494,1.4080989,6.2307587,0.66404855
562,7.638113,0.51449114,6.233502,7.1443214,1.0950391,8.620678,0.49543753,1.6409729,9.026098,9.474583,2.5095744,11.601601,1.0166132,3.4012198,12.558887,0.47394955,1.3989811,4.425143,13.221724,0.5303037,6.129003,4.4845133,1.758714,7.470361,0.5303037
364,10.581389,0.64261454,8.464721,10.237155,1.4189711,12.433531,0.7632604,2.212352,12.73916,13.847342,3.5715747,17.104828,1.5153004,4.9388585,18.245886,0.8887265,2.089749,6.5061297,18.879087,0.6686097,8.300798,6.3078513,2.2381883,10.317642,0.6686097
518,8.166118,0.6683407,9.34294,7.699659,1.382279,11.746926,0.81597453,2.359349,14.197619,10.261562,3.2604983,14.9712715,1.5217903,4.9645877,18.36124,0.9668296,2.2427847,7.148591,21.097061,0.6967765,9.153866,6.420908,2.5287514,7.9818864,0.6967765
847,4.857079,0.55401045,4.403854,4.231454,1.0184705,5.3511515,0.5771882,1.5105087,5.9877787,5.339908,2.0230224,6.7666345,1.0086386,2.7407694,7.742407,0.599664,1.3776768,3.5756748,8.573218,0.57263315,4.342125,3.3018258,1.0875742,4.769334,0.57263315
658,6.499483,0.47554824,8.911982,5.94781,0.9762419,10.174033,0.4180379,1.7782547,13.482232,7.776797,2.1303933,12.372605,0.84391737,3.5143266,16.40378,0.36120388,1.4218498,5.4069366,20.00935,0.48885822,8.735362,5.390563,2.7630103,6.365978,0.48885822
871,4.6707153,0.4112785,4.951015,4.0381517,0.7645102,5.7016864,0.30123317,1.2207038,6.8938656,5.0658765,1.4869033,6.9946814,0.5608991,2.1966004,8.559932,0.21087696,0.86396754,3.0973303,9.962012,0.4210014,4.8771634,3.2440047,1.4726177,4.587846,0.4210014
415,9.69755,0.6838138,9.21257,9.309569,1.4625503,12.632935,0.8470685,2.3938456,13.981272,12.538559,3.6170108,16.789377,1.6137257,5.245032,19.1195,1.0114955,2.2965782,7.220529,20.768158,0.7137873,9.027287,6.6765594,2.4047554,9.463631,0.7137873
499,8.415548,0.437786,10.308082,7.9620037,0.9883805,12.7328825,0.34746543,1.7694994,15.797395,10.633075,2.3342586,16.064566,0.79413176,3.752646,20.164196,0.26693168,1.3331462,5.6568584,23.528145,0.44890907,10.090377,6.271165,3.2643874,8.22341,0.44890907
313,11.539475,0.5094879,8.460413,11.240757,1.2144397,12.944063,0.48528302,1.8378106,12.731999,15.260781,3.1074219,18.151876,1.1192232,4.215714,18.719017,0.45872423,1.5395074,5.470021,18.868195,0.5249645,8.296611,6.0661755,2.5050395,11.24254,0.5249645
63,17.643196,0.3832785,15.901653,17.57342,1.10589,23.807037,0.25579274,1.9014393,24.997284,24.122787,3.1555464,32.54882,0.8062926,4.805362,35.820377,0.16091344,1.3073053,6.920771,37.48871,0.39163896,15.501483,10.156889,5.1616035,17.117847,0.39163896
743,5.6776667,0.4778626,8.11283,5.086751,0.9381655,8.915853,0.42252082,1.7202193,12.154133,6.5539412,1.9587775,10.643219,0.8128531,3.2714317,14.453615,0.36749887,1.3826789,5.081084,17.988861,0.4913141,7.9587264,4.893832,2.4962537,5.567651,0.4913141
882,4.593316,0.6511012,4.7920804,3.9580002,1.1650181,5.5206695,0.7807735,1.8232917,6.630328,4.952314,2.2965868,6.7748,1.3005476,3.2594903,8.243248,0.91497684,1.822336,4.4235277,9.558329,0.6778858,4.721814,3.6722279,1.0553087,4.5124493,0.6778858
149,15.210493,0.36888212,13.428338,15.063008,1.0336022,19.960274,0.23388614,1.739681,20.944704,20.620605,2.8626235,27.305569,0.7193899,4.286505,29.933706,0.13880254,1.1559639,6.085383,31.341913,0.3765873,13.111966,8.612882,4.351788,14.779323,0.3765873
783,5.3628182,0.44956338,5.026245,4.7579036,0.871673,6.1967983,0.36892247,1.3288805,7.0186863,6.0869756,1.7840444,7.888129,0.7091219,2.4985344,9.120512,0.29456422,1.0219305,3.3610716,10.153144,0.4613439,4.950679,3.4591336,1.449276,5.2614956,0.4613439
66,17.593082,0.37035954,13.465597,17.52189,1.0791355,21.337793,0.23608734,1.7462521,21.005932,24.05103,3.0848079,30.041147,0.76069546,4.4506125,31.251245,0.1409636,1.1641508,6.110133,31.434807,0.3781306,13.147997,8.95462,4.354971,17.069712,0.3781306
36,18.489822,0.6707598,16.822504,18.44276,1.6319175,25.20632,0.8208694,2.8076108,26.500084,25.332584,4.6820846,34.431942,1.7371885,7.0824304,37.976894,0.9739352,2.5400882,10.1054535,39.767452,0.6994326,16.390047,11.606529,4.9306474,17.930853,0.6994326
18,6.2194996,0.8235532,8.100377,5.6541085,1.5686907,9.3251,1.0966412,2.7221253,12.133426,7.3597255,3.5269604,11.398481,1.8946886,5.441837,14.869407,1.3202789,2.7754657,7.9266357,17.957342,0.8673158,7.9466186,6.2979145,1.7722304,6.178368,0.8673158
800,5.189671,0.5319327,7.7834516,4.5773916,1.0023689,8.276824,0.5312211,1.8419551,11.606254,5.8307247,2.0340908,9.714994,0.9582286,3.4147024,13.52049,0.52839255,1.5900421,5.325646,17.154833,0.548951,7.638396,4.772388,2.3200207,5.0930524,0.548951
308,11.607093,0.37810084,10.193587,11.311501,0.9724671,14.707054,0.24779704,1.5842786,15.607791,15.360313,2.520925,19.973543,0.6832772,3.6852572,21.996407,0.15268905,1.0636525,5.1275344,23.240099,0.3862221,9.979331,6.611077,3.263078,11.307784,0.3862221
382,10.267276,0.4273045,8.289505,9.90767,1.0294096,12.086094,0.3288313,1.5919708,12.447901,13.38272,2.5691385,16.577131,0.8134889,3.5840406,17.75473,0.24374318,1.1766973,4.7844334,18.435926,0.43786094,8.13049,5.6350875,2.5685701,10.01422,0.43786094
480,8.719919,0.40246856,7.772525,8.282089,0.9341227,10.702005,0.28654417,1.4788917,11.588075,11.086118,2.2355309,14.303009,0.69009346,3.2037878,15.960091,0.19414227,1.0387906,4.3859572,17.127153,0.4117501,7.6277676,5.1262274,2.4271517,8.518032,0.4117501
586,7.340261,0.4387232,6.4239306,6.8311214,0.94843864,8.631383,0.34915307,1.456528,9.343128,9.03043,2.1515381,11.442761,0.7601648,3.0054224,12.742454,0.26906952,1.0980228,4.0251884,13.705564,0.4498978,6.3146415,4.375142,1.9314677,7.1816444,0.4498978
555,7.698152,0.38338357,8.100605,7.2074633,0.8617287,10.362448,0.25595644,1.4505984,12.133801,9.564099,1.9924167,13.350268,0.5999577,3.0363019,15.918297,0.16108365,0.9773958,4.381673,17.957918,0.39174896,7.9468393,5.076811,2.565877,7.5285444,0.39174896
414,9.723215,0.6728628,8.609664,9.336524,1.444618,12.084373,0.8251148,2.3116388,12.980032,12.576625,3.570354,16.263317,1.5824106,5.0629144,18.047726,0.98007613,2.2191222,6.828403,19.245525,0.70174265,8.441654,6.355265,2.2230492,9.488441,0.70174265
133,15.694135,0.4792577,10.674762,15.563565,1.2532997,17.4044,0.42523095,1.9145722,16.404278,21.319984,3.449185,24.972256,1.1048468,4.7090254,24.958166,0.37132025,1.5324769,6.1335244,24.44999,0.492795,10.445928,7.5996094,3.2864597,15.244544,0.492795
595,7.2193427,0.6768918,7.35645,6.704001,1.3577965,9.400277,0.83322203,2.2066152,10.895663,8.8501,3.0978348,12.123792,1.5132871,4.4938183,14.320247,0.9917455,2.1543825,6.199462,16.072584,0.7061708,7.2229114,5.3806295,1.8300097,7.0644,0.7061708
936,4.2318068,0.4497998,4.2070384,3.584803,0.79989785,4.8085585,0.36935854,1.2196902,5.6628456,4.424186,1.4983335,5.8763247,0.6463005,2.1187603,7.0322633,0.29513574,0.93759876,2.8798301,8.074569,0.46159366,4.1495137,2.9107015,1.1737363,4.1601253,0.46159366
554,7.7054095,0.3872671,8.518452,7.215097,0.86920965,10.728205,0.26204073,1.4942987,12.828458,9.574921,2.009404,13.704611,0.61199576,3.1220846,16.641207,0.16746132,1.0177355,4.5774417,19.014942,0.3958145,8.353016,5.267852,2.7064342,7.5355773,0.3958145
921,4.3039885,0.58231777,6.727727,3.6591525,1.0266898,6.7838273,0.63675964,1.8777658,9.848948,4.5293036,1.958118,7.738339,1.0615793,3.2962687,11.109722,0.69307727,1.7221557,5.15127,14.477159,0.60312927,6.61068,4.260661,1.8968494,4.2304964,0.60312927
22,9.633876,0.6343402,12.953668,9.242687,1.3757486,15.805833,0.74608666,2.5038521,20.164177,12.4441,3.3787174,19.755976,1.4647185,5.4888706,25.461744,0.86272603,2.2735395,8.365225,30.157639,0.65958023,12.652851,8.221955,3.8576744,9.402075,0.65958023
193,14.103721,0.36936948,12.560206,13.914819,1.0124589,18.464022,0.23461102,1.696187,19.5165,19.014225,2.7556858,25.170578,0.70239276,4.114854,27.725323,0.13951276,1.125495,5.82855,29.174803,0.37709635,12.272143,8.050119,4.0626054,13.7141,0.37709635
582,7.370036,0.38473842,7.6818614,6.862427,0.8514571,9.7825165,0.25807083,1.420632,11.437224,9.074835,1.9422057,12.586289,0.5936213,2.9399586,14.981087,0.16328867,0.95832765,4.21977,16.897451,0.39316705,7.539568,4.8413115,2.4228103,7.210512,0.39316705
585,7.3483467,0.41725084,6.6743217,6.839622,0.9100356,8.867738,0.3113881,1.4223589,9.760025,9.042488,2.0678906,11.681688,0.69272804,2.9406896,13.19659,0.2227585,1.0274948,4.0019627,14.341546,0.4272797,6.558648,4.449714,2.042255,7.189483,0.4272797
134,15.67022,0.52382696,10.514028,15.538835,1.3327539,17.218546,0.514522,2.0321321,16.138315,21.285442,3.6613524,24.76581,1.2521124,4.9743195,24.631584,0.50284535,1.7152481,6.4404154,24.04602,0.5402784,10.290089,7.6287265,3.157759,15.221545,0.5402784
746,5.658543,0.41039333,7.313083,5.066757,0.81966835,8.286553,0.29974154,1.4619776,10.823476,6.5255466,1.7105924,10.055972,0.6055139,2.7863894,13.156994,0.20915294,1.0429144,4.2444267,15.962606,0.42007133,7.1807,4.4245777,2.2900386,5.5490603,0.42007133
485,8.663621,0.5465314,6.827172,8.222889,1.1906886,9.762187,0.56154907,1.790356,10.014523,11.002347,2.828814,13.327886,1.1577024,3.8241782,14.194624,0.5752898,1.5812961,4.9542212,14.729643,0.56460065,6.7075553,4.9834375,1.90068,8.463545,0.56460065
311,11.57064,0.43830067,8.88927,11.273364,1.0859613,13.399092,0.3483918,1.670235,13.444511,15.306659,2.7912805,18.635166,0.8824633,3.8625822,19.550533,0.26810437,1.2595528,5.1131315,19.951986,0.44945198,8.7133,6.117587,2.7538066,11.272612,0.44945198
203,13.894641,0.6654276,10.654879,13.697497,1.5400318,16.450985,0.8100651,2.4488487,16.371382,18.709835,4.1463895,23.026873,1.6528834,5.808771,24.06395,0.9582157,2.2975004,7.721655,24.400026,0.6935799,10.426651,7.915331,2.8898551,13.51277,0.6935799
704,6.069757,0.6541888,5.8846235,5.4971604,1.2625151,7.3818936,0.7871168,1.9792773,8.445429,7.136826,2.7279878,9.46413,1.3941118,3.8406532,11.041437,0.924414,1.945345,5.1653686,12.335025,0.6812645,5.788748,4.4360976,1.3919955,5.9486723,0.6812645
857,4.7532516,0.63080734,6.846022,4.1237082,1.1417545,7.2351165,0.7387275,2.0240228,10.045908,5.1871395,2.270775,8.465982,1.2469602,3.6731615,11.683654,0.8515127,1.930564,5.5643735,14.777496,0.6557294,6.725916,4.5390143,1.8365324,4.668231,0.6557294
132,15.714818,0.4398566,10.992464,15.584956,1.1808885,17.755915,0.35119867,1.8198246,16.929684,21.34986,3.26062,25.348661,0.9712734,4.497933,25.588581,0.2716694,1.3754011,5.9221964,25.24792,0.45109358,10.75388,7.666992,3.4494278,15.264435,0.45109358
190,14.146667,0.42505583,14.580766,13.95944,1.1215525,20.387829,0.32489264,1.9719887,22.835968,19.076708,3.028936,27.079409,0.8921472,4.7257633,31.377563,0.23894261,1.4552039,6.9517527,34.210888,0.43549296,14.225903,9.115679,4.6886954,13.755449,0.43549296
505,8.365707,0.3945948,7.7483635,7.909582,0.9071224,10.46761,0.27371716,1.4543929,11.547875,10.558854,2.1470938,13.861941,0.6548321,3.1179821,15.711699,0.17997883,1.003943,4.318851,17.065945,0.40349177,7.604264,5.0471716,2.4289706,8.175155,0.40349177
810,5.133927,0.4060348,5.384475,4.519333,0.7833103,6.3613944,0.29244807,1.2578781,7.6136403,5.748323,1.5788212,7.9094543,0.56898355,2.3361983,9.592194,0.20080303,0.88149816,3.2964885,11.063595,0.41549358,5.3005967,3.5023043,1.624751,5.0388103,0.41549358
899,4.4654264,0.3962511,5.4782114,3.8257473,0.7259052,5.9840145,0.27639136,1.2424531,7.7694488,4.765025,1.3871009,7.1287875,0.50877744,2.199287,9.283147,0.1828965,0.8508796,3.2851617,11.301876,0.4052282,5.392118,3.404381,1.6763859,4.387842,0.4052282
155,15.110557,0.4980362,10.307653,14.959488,1.2758722,16.717207,0.46225518,1.9440856,15.796685,20.475897,3.4788833,23.951971,1.1571279,4.7346144,23.973585,0.4246364,1.5949734,6.1473703,23.527067,0.51275986,10.089963,7.3925786,3.1347601,14.683174,0.51275986
625,6.860484,0.65405273,8.557163,6.3268785,1.3020303,10.165231,0.7868376,2.253029,12.892791,8.314945,2.918686,12.615274,1.4293102,4.5343814,16.105562,0.9239994,2.1411664,6.6455755,19.112812,0.68111557,8.3906355,5.778432,2.3227777,6.7163234,0.68111557
733,5.7952657,0.6599757,5.814471,5.209752,1.2573352,7.149384,0.7989616,1.9866153,8.328701,6.7286296,2.6800835,9.072489,1.3984199,3.8069499,10.749624,0.9419289,1.9625273,5.161947,12.156694,0.6876023,5.720304,4.3748093,1.3624183,5.6819572,0.6876023
736,5.752936,0.6698292,7.0005093,5.165468,1.2719225,8.107688,0.8189877,2.1499255,10.303122,6.665736,2.7087338,9.95423,1.4267176,4.1254086,12.717346,0.97120684,2.1002915,5.9443126,15.169619,0.6984107,6.8763776,4.9300585,1.7700144,5.6408153,0.6984107
305,11.640272,0.390078,11.93664,11.346213,0.99652857,16.354052,0.26648954,1.7263058,18.488773,15.409147,2.5802138,21.6086,0.7233217,3.9869921,25.14331,0.17218801,1.194638,5.8165145,27.614975,0.39875853,11.668518,7.4370704,3.8444078,11.339797,0.39875853
987,3.8917656,0.5304853,6.3367567,3.235854,0.90742016,6.1635785,0.5282311,1.6952271,9.197995,3.9317002,1.6549175,6.8888755,0.8666893,2.8697276,10.141556,0.52380204,1.47451,4.5861487,13.484089,0.5474015,6.229668,3.8865702,1.8479353,3.8284502,0.5474015
809,5.138871,0.3973573,5.633539,4.5244813,0.7685399,6.571566,0.27818468,1.2623858,8.027728,5.7556295,1.5499301,8.112571,0.54460406,2.3449764,10.014494,0.18486339,0.86774933,3.3703203,11.696745,0.4063881,5.5437417,3.5955317,1.7205261,5.0436215,0.4063881
372,10.380733,0.53181237,12.547909,10.026703,1.2213161,16.027807,0.53097254,2.1824977,19.496246,13.550609,3.042754,20.478584,1.1621944,4.850782,25.348328,0.5280107,1.8418331,7.2692595,29.144068,0.5488223,12.260241,7.8337536,3.8811934,10.123827,0.5488223
303,11.665698,0.44254553,13.010968,11.3728075,1.0963112,17.32831,0.3560723,1.9452069,20.258446,15.446558,2.822538,22.559286,0.89893883,4.45893,27.030527,0.2778993,1.4746933,6.6285644,30.300678,0.45393163,12.7082815,8.040945,4.1528597,11.364329,0.45393163
299,11.742771,0.61662984,13.236786,11.453423,1.4064342,17.578854,0.7090621,2.4682298,20.629831,15.55995,3.6242428,22.847837,1.4650077,5.6483555,27.471144,0.80592823,2.214717,8.301122,30.864185,0.64030135,12.926713,8.6387615,3.9341342,11.438686,0.64030135
656,6.5183673,0.5444387,9.131229,5.9676304,1.0968587,10.35834,0.5571842,1.9899569,13.846257,7.80494,2.3992467,12.553885,1.0668771,3.9365833,16.771078,0.56850725,1.727385,6.034129,20.562881,0.562355,8.948299,5.646155,2.7426329,6.384309,0.562355
968,4.0304008,0.44933414,4.0577445,3.3778446,0.78435564,4.5609527,0.36849973,1.1967119,5.416822,4.1319056,1.4406393,5.5201936,0.6320361,2.0428433,6.657126,0.29401064,0.9188187,2.7845552,7.6967897,0.46110162,4.00335,2.8101485,1.1241039,3.963708,0.46110162
379,10.298672,0.3784134,9.542984,9.940608,0.937872,13.308056,0.24827603,1.5419507,14.529478,13.42918,2.3570538,17.814545,0.654913,3.484356,20.067492,0.15317677,1.0334401,4.8970294,21.601507,0.3865491,9.348058,6.121304,3.047713,10.044551,0.3865491
426,9.509271,0.38425547,9.985574,9.111789,0.92555946,13.212067,0.25731608,1.5892662,15.263198,12.259198,2.2745314,17.235247,0.6539735,3.5056663,20.366076,0.16250007,1.0809062,5.1041923,22.716537,0.39266154,9.777546,6.208398,3.1986585,9.281603,0.39266154
107,16.368614,0.36533755,13.50149,16.260422,1.0479058,20.700138,0.22864968,1.732056,21.064913,22.292728,2.9521232,28.71262,0.7254421,4.344682,30.694765,0.13371652,1.1422387,6.0738,31.524288,0.37288603,13.182706,8.799868,4.3754454,15.893075,0.37288603
95,16.741243,0.67193353,12.236459,16.644808,1.6054107,19.603344,0.8232397,2.5715625,18.983112,22.828852,4.509276,27.802887,1.7168262,6.343369,28.481718,0.9773664,2.391316,8.447796,28.365301,0.7007216,11.958792,9.103756,3.3811636,16.251245,0.7007216
298,11.770165,0.65314543,12.673548,11.48207,1.4694763,17.10107,0.7849748,2.5426009,19.703135,15.600243,3.8003943,22.409824,1.5748413,5.8275986,26.515814,0.9212317,2.335965,8.43903,29.458027,0.68012244,12.381823,8.5137615,3.6511877,11.465115,0.68012244
930,4.256902,0.39839542,5.4039583,3.6106422,0.7157414,5.7769713,0.27987278,1.2398785,7.6460204,4.4607115,1.3416,6.800148,0.50354505,2.1576986,9.007541,0.18672265,0.85317457,3.2603126,11.113119,0.40747687,5.3196206,3.336706,1.6517162,4.1845927,0.40747687
781,5.374383,0.41366515,5.4132643,4.76997,0.81009567,6.539164,0.30527246,1.2812779,7.661489,6.104107,1.6598988,8.227368,0.6022882,2.4146972,9.795367,0.21557279,0.91406846,3.357589,11.136776,0.42350975,5.328707,3.5686252,1.6245209,5.2727447,0.42350975
287,12.045248,0.41696808,9.405977,11.769641,1.0580822,14.1788645,0.3109038,1.6464494,14.302209,16.004576,2.7529302,19.691551,0.82174015,3.851857,20.766903,0.22218622,1.1952022,5.151131,21.256052,0.42698237,9.215063,6.3819294,2.9530416,11.73046,0.42698237
630,6.7974234,0.48910844,9.276486,6.2606373,1.0139765,10.6892605,0.44453079,1.844579,14.087346,8.220919,2.2438772,13.054323,0.90031356,3.6894374,17.230879,0.3988646,1.5011487,5.662836,20.929422,0.50326073,9.089346,5.6336126,2.8674479,6.655138,0.50326073
779,5.3848395,0.3943963,5.9223094,4.7808805,0.77700686,6.9741163,0.27339736,1.2849873,8.508138,6.1195974,1.5942061,8.649685,0.547277,2.4229307,10.665073,0.1796313,0.8785371,3.4942982,12.430816,0.4032837,5.825511,3.757449,1.8216466,5.282915,0.4032837
542,7.867441,0.6793394,7.896946,7.385513,1.3894172,10.292641,0.8381305,2.2661488,11.795066,9.816469,3.248458,13.388617,1.544434,4.718209,15.6722,0.99877304,2.2006564,6.51319,17.442297,0.7088628,7.748789,5.7479143,1.9974983,7.692576,0.7088628
573,7.454073,0.59901196,9.817211,6.9507875,1.233933,11.620127,0.6719858,2.1969495,14.98417,9.200155,2.8181696,14.370482,1.2817084,4.5092115,18.627789,0.74827594,1.9907945,6.7760005,22.292543,0.621186,9.614192,6.2745495,2.866027,7.2919793,0.621186
61,17.682976,0.45033112,17.346899,17.614315,1.2356341,25.211105,0.37033948,2.173083,27.354464,24.17973,3.496864,33.950848,1.0394132,5.4396863,38.454647,0.29642263,1.6591359,7.981496,41.062862,0.46215522,16.895813,11.009514,5.5706215,17.156055,0.46215522
230,13.206929,0.6316901,14.134987,12.981758,1.4677453,19.365864,0.7405675,2.5612192,22.105017,17.706545,3.8935425,25.500498,1.5416554,6.016904,29.996595,0.8543203,2.306597,8.773715,33.102154,0.6566914,13.795132,9.351993,4.185581,12.85032,0.6566914
417,9.646206,0.66911554,10.570903,9.25564,1.4357404,13.8183565,0.8175436,2.4537065,16.232437,12.462395,3.5396466,17.903769,1.5692629,5.3750944,21.47041,0.9691103,2.3079574,7.7183633,24.188986,0.6976271,10.345234,7.2433653,2.9212408,9.413996,0.6976271
192,14.117103,0.37768972,13.258841,13.928724,1.0292712,19.14044,0.24716777,1.7589544,20.666094,19.033697,2.7977154,25.846333,0.7306091,4.2525263,29.002405,0.15204915,1.1902997,6.1166086,30.9192,0.38579217,12.948045,8.394662,4.2911296,13.726985,0.38579217
559,7.667621,0.42901802,6.7277923,7.1753545,0.9441977,9.105491,0.3318466,1.459883,9.849056,9.518579,2.171488,12.103768,0.7409961,3.050769,13.475191,0.24744262,1.0803646,4.1060987,14.477325,0.4396658,6.610744,4.544103,2.0454276,7.498958,0.4396658
326,11.219145,0.4596545,12.855033,10.905451,1.115953,16.884167,0.38771945,1.987907,20.001873,14.788845,2.8415658,21.844965,0.9454753,4.5098953,26.459156,0.31953883,1.5441924,6.730936,29.911356,0.4720159,12.5574255,7.9355464,4.082326,10.933401,0.4720159
601,7.1216674,0.5547952,9.696737,6.6013317,1.1430163,11.269723,0.57883245,2.0623274,14.784449,8.704432,2.5691938,13.814859,1.1267114,4.177971,18.169746,0.60223246,1.8024163,6.360284,21.989023,0.57347655,9.497284,6.035207,2.9105437,6.9696774,0.57347655
363,10.605131,0.60960895,8.148004,10.262049,1.3630793,12.1298065,0.6943083,2.0910916,12.212623,13.882436,3.4238775,16.809238,1.4155427,4.673544,17.66315,0.78306216,1.9362354,6.087112,18.077883,0.63267624,7.992925,6.054832,2.208401,10.340571,0.63267624
315,11.499013,0.5902281,8.520131,11.198417,1.3546343,12.984314,0.65345424,2.068997,12.831248,15.201204,3.4675715,18.17144,1.3778741,4.7144113,18.813457,0.7192693,1.8805069,6.115677,19.01919,0.6116785,8.354649,6.2998104,2.3713393,11.203497,0.6116785
806,5.153364,0.3991646,6.489589,4.5395746,0.77250075,7.2689776,0.2811268,1.3547429,9.452447,5.777051,1.5594635,8.774303,0.55036926,2.5120046,11.435309,0.18810838,0.93969166,3.795106,13.872359,0.40828362,6.378636,3.9629138,2.0195494,5.057725,0.40828362
167,14.710265,0.46589798,15.499978,14.544525,1.2094316,21.59311,0.3995292,2.1397974,24.340752,19.895592,3.2832842,28.596615,1.0418073,5.1502824,33.349777,0.33557376,1.6694236,7.6125655,36.493095,0.47862706,15.113712,9.728144,4.944744,14.29798,0.47862706
654,6.5423856,0.6137316,8.840477,5.992841,1.2173153,10.151561,0.702976,2.1621702,13.363475,7.840734,2.6788948,12.38241,1.2897116,4.291536,16.322859,0.79650944,1.9958351,6.4538865,19.828743,0.63715255,8.665903,5.713891,2.5176826,6.407624,0.63715255
